url,loc,artist,song
http://pizmonet.co.il/wiki/2.1.2000,1,אסף אמדורסקי,חלום כהה
http://pizmonet.co.il/wiki/2.1.2000,2,דנה אינטרנשיונל,עד סוף הזמן
http://pizmonet.co.il/wiki/2.1.2000,3,רוקפור ואביב גפן,שוב לא שקט
http://pizmonet.co.il/wiki/2.1.2000,4,יזהר אשדות וברי סחרוף,שה לה לה
http://pizmonet.co.il/wiki/2.1.2000,5,מיכל אמדורסקי,אין לי מה לומר
http://pizmonet.co.il/wiki/2.1.2000,6,יזהר אשדות וברי סחרוף,זמן קסם
http://pizmonet.co.il/wiki/2.1.2000,7,אסף אמדורסקי,15 דקות
http://pizmonet.co.il/wiki/2.1.2000,8,אביתר בנאי,חלון
http://pizmonet.co.il/wiki/2.1.2000,9,מיקה קרני,אלול בין כרם
http://pizmonet.co.il/wiki/2.1.2000,10,רוקפור,הכעס
http://pizmonet.co.il/wiki/2.1.2000,11,מיקה קרני,תגיד עכשיו
http://pizmonet.co.il/wiki/2.1.2000,12,החשמליות,לונדון
http://pizmonet.co.il/wiki/2.1.2000,13,"שב""ק ס'",הנה זה בא
http://pizmonet.co.il/wiki/2.1.2000,14,מיכל אמדורסקי,אל תלך עכשיו
http://pizmonet.co.il/wiki/2.1.2000,15,אלי לוזון,הכול בשבילך
http://pizmonet.co.il/wiki/2.1.2000,16,עברי לידר,הכוס הכחולה
http://pizmonet.co.il/wiki/2.1.2000,17,בתי,קצת ממך
http://pizmonet.co.il/wiki/2.1.2000,18,ריטה,כמה אירוני
http://pizmonet.co.il/wiki/2.1.2000,19,אביתר בנאי,מחשבות
http://pizmonet.co.il/wiki/2.1.2000,20,מאדורי,נשיקה
http://pizmonet.co.il/wiki/2.1.2000,21,טיפקס,שלוש בלילה
http://pizmonet.co.il/wiki/2.1.2000,22,טיפקס,גשם של פקקים
http://pizmonet.co.il/wiki/2.1.2000,23,משמרת הצניעות,אל הדקלים
http://pizmonet.co.il/wiki/2.1.2000,24,ירמי קפלן,מה שתחשוב
http://pizmonet.co.il/wiki/2.1.2000,25,יזהר אשדות,למה לא
http://pizmonet.co.il/wiki/9.1.2000,1,אסף אמדורסקי,חלום כהה
http://pizmonet.co.il/wiki/9.1.2000,2,רוקפור ואביב גפן,שוב לא שקט
http://pizmonet.co.il/wiki/9.1.2000,3,מיקה קרני,נישקתי בחורה
http://pizmonet.co.il/wiki/9.1.2000,4,דנה אינטרנשיונל,עד סוף הזמן
http://pizmonet.co.il/wiki/9.1.2000,5,יזהר אשדות וברי סחרוף,שה לה לה
http://pizmonet.co.il/wiki/9.1.2000,6,אסף אמדורסקי,15 דקות
http://pizmonet.co.il/wiki/9.1.2000,7,מיכל אמדורסקי,אין לי מה לומר
http://pizmonet.co.il/wiki/9.1.2000,8,יזהר אשדות וברי סחרוף,זמן קסם
http://pizmonet.co.il/wiki/9.1.2000,9,רמי קלינשטיין,שלג
http://pizmonet.co.il/wiki/9.1.2000,10,החשמליות,לונדון
http://pizmonet.co.il/wiki/9.1.2000,11,מיכל אמדורסקי,אל תלך עכשיו
http://pizmonet.co.il/wiki/9.1.2000,12,מיקה קרני,אלול בעין כרם
http://pizmonet.co.il/wiki/9.1.2000,13,אביתר בנאי,חלון
http://pizmonet.co.il/wiki/9.1.2000,14,"שב""ק ס'",נופל וקם
http://pizmonet.co.il/wiki/9.1.2000,15,"שב""ק ס'",הנה זה בא
http://pizmonet.co.il/wiki/9.1.2000,16,בתי,קצת ממך
