label,id,genre
רוקפור,1,רוק
יזהר אשדות,2,רוק
טל גורדון,3,רוק
רמי קלינשטיין,4,גנרי
חמי רודנר,5,רוק
פבלו רוזנברג,6,גנרי
שלומי שבת,7,ים-תיכוני
שלמה ארצי,8,רוק
פישי הגדול,9,היפ-הופ
עמיר בניון,10,ים-תיכוני
ליאור נרקיס,11,ים-תיכוני
חיה סמיר,12,גנרי
יהודית רביץ,13,קלאסי
אריק איינשטיין,14,קלאסי
נצח,15,לא ידוע
מתי כספי,16,קלאסי
הדג נחש,17,היפ-הופ
ונוס,18,לא ידוע
עמיר לב,19,רוק
לידור יוספי,20,ים-תיכוני
נורית גלרון,21,קלאסי
אבי סינואני,22,ים-תיכוני
דני סנדרסון,23,רוק
מזי כהן,24,רוק
שלומי שבן,25,גנרי
עידן משה,26,ים-תיכוני
סאבלימינל,27,היפ-הופ
שרון חזיז,28,פופ
מיקה קרני,29,רוק
יוני רועה,30,ים-תיכוני
יפעת תעשה,31,ים-תיכוני
פיני חדד,32,ים-תיכוני
לאה שבת,33,גנרי
ארקדי דוכין,34,רוק
אבי דור,35,גנרי
שירה יובל,36,לא ידוע
אפרת בן צור,37,רוק
סטלה מאריס,38,רוק
רמי פורטיס,39,רוק
מיקי גבריאלוב,40,רוק
יוסף זרח,41,לא ידוע
מוקי,42,רוק
מיכה שטרית,43,רוק
שרית,44,ים-תיכוני
שלום חנוך,45,רוק
דן תורן,46,רוק
יפה ירקוני,47,קלאסי
חיים אוליאל,48,ים-תיכוני
אינפקטד מאשרום,49,לא ידוע
אייל גולן,50,ים-תיכוני
אסי,51,לא ידוע
ברי סחרוף,52,רוק
חיים משה,53,ים-תיכוני
ריקי גל,54,רוק
חוה אלברשטיין,55,קלאסי
קובי רכט,56,קלאסי
נימרוד לב,57,רוק
אושיק לוי,58,גנרי
ליאת בנאי,59,ים-תיכוני
שירלי צפרי,60,לא ידוע
תיסלם,61,רוק
שרונה,62,לא ידוע
חיילי הנקמה,63,היפ-הופ
חני פירסטנברג,64,גנרי
איזקיס,65,לא ידוע
מומי לוי,66,היפ-הופ
אילנה אביטל,67,פופ
שונטל,68,לא ידוע
אבי מסיקה,69,היפ-הופ
נינט טייב,70,רוק
סטלוס,71,ים-תיכוני
יוני בלוך,72,רוק
שר־אל,73,ים-תיכוני
זהבה בן,74,ים-תיכוני
רותי נבון,75,רוק
מושיק עפיה,76,ים-תיכוני
חיים אל,77,ים-תיכוני
קובי פרץ,78,ים-תיכוני
אביבה אבידן,79,ים-תיכוני
מאיה בוסקילה,80,פופ
אם סי שירי,81,היפ-הופ
אתניX,82,ים-תיכוני
נתי לוי,83,ים-תיכוני
בעז שרעבי,84,קלאסי
לירן טל,85,לא ידוע
אילנית,86,קלאסי
