from,to,name1,name2,n_from,n_to
1,135,רוקפור,אביב גפן,1,4
2,46,יזהר אשדות,ברי סחרוף,4,12
3,121,טל גורדון,רונה קינן,1,4
4,95,רמי קלינשטיין,ריטה,3,1
5,185,חמי רודנר,שליחי הבלוז,2,2
6,186,פבלו רוזנברג,יואב יצחק,3,4
7,187,שלומי שבת,שרון קרלן,7,1
8,183,שלמה ארצי,שמעון בוסקילה,12,2
9,85,פישי הגדול,טיפקס,2,1
8,188,שלמה ארצי,בן ארצי,12,1
10,39,עמיר בניון,מיכה שטרית,3,3
7,11,ליאור נרקיס,שלומי שבת,6,10
12,41,יהודית רביץ,דן תורן,2,1
13,39,אריק איינשטיין,מיכה שטרית,4,3
14,189,מתי כספי,אתי אנקרי,4,1
15,21,הדג נחש,מזי כהן,12,2
14,135,מתי כספי,אביב גפן,4,4
2,26,יזהר אשדות,מיקה קרני,4,1
8,190,שלמה ארצי,יעל דקלבאום,12,1
16,140,עמיר לב,אביתר בנאי,2,5
14,30,מתי כספי,לאה שבת,4,4
17,191,לידור יוספי,מיכל אמדורסקי,2,2
18,30,נורית גלרון,לאה שבת,1,4
7,19,אבי סינואני,שלומי שבת,1,10
16,192,עמיר לב,רפי פרסקי,2,1
20,87,דני סנדרסון,רונית שחר,2,2
5,21,מזי כהן,חמי רודנר,2,4
7,22,שלומי שבן,שלומי שבת,2,10
21,87,מזי כהן,רונית שחר,2,2
23,186,עידן משה,יואב יצחק,1,4
24,193,סאבלימינל,ברוך פרידלנד,17,1
25,93,שרון חזיז,עברי לידר,2,4
26,194,מיקה קרני,מיקי שביב,2,1
27,155,יוני רועה,דקלון,2,2
24,195,סאבלימינל,הצל,17,3
28,97,יפעת תעשה,אלון אולארצ'יק,1,3
29,80,פיני חדד,מני בגר,1,2
30,196,לאה שבת,תמר גלעדי,6,1
31,197,ארקדי דוכין,סימה לוי דוכין,4,1
32,198,שירה יובל,חנן יובל,1,2
33,140,אפרת בן צור,אביתר בנאי,1,5
13,40,אריק איינשטיין,שלום חנוך,4,2
34,80,סטלה מאריס,מני בגר,1,2
8,98,שלמה ארצי,טל שגב,12,1
35,46,רמי פורטיס,ברי סחרוף,2,12
30,199,לאה שבת,גילה אלמגור,6,1
28,36,מיקי גבריאלוב,יפעת תעשה,3,2
37,186,יוסף זרח,יואב יצחק,1,4
38,200,מוקי,יובל בנאי,3,2
22,35,רמי פורטיס,שלומי שבן,2,1
7,8,שלמה ארצי,שלומי שבת,12,10
5,12,חמי רודנר,יהודית רביץ,2,2
7,30,לאה שבת,שלומי שבת,6,10
31,39,מיכה שטרית,ארקדי דוכין,1,8
40,201,שלום חנוך,משה לוי,3,1
5,41,דן תורן,חמי רודנר,5,4
42,71,יפה ירקוני,היונים,1,1
43,202,חיים אוליאל,שאנן סטריט,3,3
44,46,אינפקטד מאשרום,ברי סחרוף,1,12
31,45,אייל גולן,ארקדי דוכין,6,8
43,107,חיים אוליאל,גלי עטרי,3,2
39,46,ברי סחרוף,מיכה שטרית,3,3
4,41,דן תורן,רמי קלינשטיין,5,2
9,38,מוקי,פישי הגדול,3,3
26,30,מיקה קרני,לאה שבת,2,4
47,186,חיים משה,יואב יצחק,1,4
15,64,הדג נחש,אם סי שירי,12,1
43,203,חיים אוליאל,קובי אוז,3,2
31,48,ריקי גל,ארקדי דוכין,1,8
41,204,דן תורן,שי להב,5,1
46,49,חוה אלברשטיין,ברי סחרוף,1,12
35,50,קובי רכט,רמי פורטיס,2,3
15,46,הדג נחש,ברי סחרוף,12,12
51,124,אושיק לוי,אסף אמדורסקי,2,3
38,46,מוקי,ברי סחרוף,3,12
46,51,אושיק לוי,ברי סחרוף,2,12
9,52,ליאת בנאי,פישי הגדול,1,3
24,53,שירלי צפרי,סאבלימינל,1,2
54,205,חיילי הנקמה,רינת בר,2,2
9,206,פישי הגדול,צ'ולו,2,2
54,58,חיילי הנקמה,שר־אל,2,1
24,55,מומי לוי,סאבלימינל,3,2
56,207,אבי מסיקה,חגי חייט,2,1
31,208,ארקדי דוכין,לימור עמר,4,1
57,209,נינט טייב,אלי פיניש,2,1
11,47,ליאור נרקיס,חיים משה,6,1
58,195,שר־אל,הצל,1,3
59,210,זהבה בן,ליאת אחירון,1,1
15,211,הדג נחש,ליאורה יצחק,12,2
17,66,לידור יוספי,נתי לוי,2,1
56,212,אבי מסיקה,לירן ספורטה,2,1
55,107,מומי לוי,גלי עטרי,3,2
15,72,הדג נחש,אהובה עוזרי,12,2
60,78,רותי נבון,יגאל בשן,1,1
61,205,מושיק עפיה,רינת בר,2,2
7,62,חיים אל,שלומי שבת,1,10
6,25,פבלו רוזנברג,שרון חזיז,3,1
27,30,יוני רועה,לאה שבת,2,4
10,89,עמיר בניון,מאיה אברהם,3,3
55,213,מומי לוי,שלוש לראש,3,1
56,63,מאיה בוסקילה,אבי מסיקה,1,1
64,214,אם סי שירי,גלית דהן,1,1
65,215,אתניX,שלומי סרנגה,5,3
29,66,נתי לוי,פיני חדד,1,1
38,67,בעז שרעבי,מוקי,3,3
63,67,בעז שרעבי,מאיה בוסקילה,3,1
68,142,לירן טל,ישי לוי,1,3
69,74,אילנית,רון שובל,1,1
70,216,הילה הררי,כלא 6,1,1
71,151,היונים,יהורם גאון,3,1
69,71,היונים,אילנית,3,1
2,121,יזהר אשדות,רונה קינן,4,4
30,217,לאה שבת,קורין אלאל,6,2
72,202,אהובה עוזרי,שאנן סטריט,1,3
71,218,היונים,עליזה עזיקרי,3,1
73,97,יצחק קלפטר,אלון אולארצ'יק,2,3
74,219,רון שובל,מאיר מיירא,1,1
8,40,שלום חנוך,שלמה ארצי,3,1
7,123,שלומי שבת,שירי מימון,7,2
75,195,שי 360,הצל,1,3
7,76,דוד ד'אור,שלומי שבת,4,10
77,220,דודי לוי,יסמין לוי,2,2
78,221,יגאל בשן,פיטר רוט,1,5
31,76,דוד ד'אור,ארקדי דוכין,4,8
79,222,שורטי,שחר סויסה,1,1
12,72,יהודית רביץ,אהובה עוזרי,2,2
70,80,מני בגר,הילה הררי,1,1
81,223,אלון דה לוקו,גד אלבז,1,3
82,121,גידי גוב,רונה קינן,2,4
76,132,דוד ד'אור,אהוד בנאי,4,4
83,224,יהלי סובול,מלאני פרס,3,1
84,225,עידן יניב,ליאור דטאוקר,1,1
7,226,שלומי שבת,שלישיית מה קשור,7,2
61,215,מושיק עפיה,שלומי סרנגה,2,3
85,227,טיפקס,עלמה זק,3,1
24,228,סאבלימינל,מירי בן ארי,17,2
86,228,סאבלמינל,מירי בן ארי,1,2
5,87,רונית שחר,חמי רודנר,1,4
13,76,דוד ד'אור,אריק איינשטיין,4,2
7,229,שלומי שבת,גיא בוסקילז,7,1
88,181,דין דין אביב,מוש בן ארי,3,4
85,230,טיפקס,מירי מסיקה,3,4
24,81,סאבלימינל,אלון דה לוקו,17,1
41,185,דן תורן,שליחי הבלוז,5,2
7,231,שלומי שבת,איציק שמלי,7,2
85,232,טיפקס,שחר סוויסה,3,1
83,140,יהלי סובול,אביתר בנאי,3,5
89,233,מאיה אברהם,יהודה מסס,3,2
90,234,דודו טסה,רוני אלטר,3,2
24,167,סאבלימינל,דויד ברוזה,17,1
91,235,עובדיה חממה,חברים,3,1
88,236,דין דין אביב,יעל נעים,3,1
24,231,סאבלימינל,איציק שמלי,17,2
92,181,איילה אינגדשט,מוש בן ארי,1,4
57,93,עברי לידר,נינט טייב,4,2
8,38,שלמה ארצי,מוקי,12,3
94,237,אריק ברמן,גל דה פז,3,1
95,238,ריטה,שתיים,5,1
96,138,רן דנקר,עילי בוטנר,3,4
79,97,אלון אולארצ'יק,שורטי,3,1
98,181,טל שגב,מוש בן ארי,4,4
84,99,דנה אינטרנשיונל,עידן יניב,1,1
31,100,מטרופולין,ארקדי דוכין,2,8
96,239,רן דנקר,עילי בוטנר עם סיון טלמור,3,1
93,100,מטרופולין,עברי לידר,2,4
101,132,שולי רנד,אהוד בנאי,2,4
102,240,גלעד שגב,ג'וזי כץ,5,1
103,140,רוי,אביתר בנאי,1,5
24,241,סאבלימינל,הגבעטרון,17,1
45,242,אייל גולן,טריפונס,6,1
104,121,אוהד חיטמן,רונה קינן,2,4
83,243,יהלי סובול,רע מוכיח,3,2
94,244,אריק ברמן,גאולה אבן,3,1
105,245,סגיב כהן,קרן כהן,3,1
35,106,ג'וני,רמי פורטיס,1,3
96,246,רן דנקר,עילי בוטנר עם יוסטון פרוג'קט,3,1
105,107,גלי עטרי,סגיב כהן,1,4
94,230,אריק ברמן,מירי מסיקה,3,4
65,142,אתניX,ישי לוי,5,3
24,122,סאבלימינל,ליאור פרחי,17,1
108,230,עפר בשן,מירי מסיקה,1,4
109,247,בום פם,מאור כהן,2,2
110,124,אמילי קרפל,אסף אמדורסקי,1,3
57,83,נינט טייב,יהלי סובול,2,2
33,111,קרני פוסטל,אפרת בן צור,1,1
88,112,אבישי כהן,דין דין אביב,1,2
105,113,קובי אפללו,סגיב כהן,2,4
46,243,ברי סחרוף,רע מוכיח,3,2
67,114,ענבל,בעז שרעבי,1,2
115,248,שי גבסו,המראות,2,1
31,116,סקאזי דרייב,ארקדי דוכין,3,8
67,89,בעז שרעבי,מאיה אברהם,3,3
7,116,סקאזי דרייב,שלומי שבת,3,10
4,117,סינרגיה,רמי קלינשטיין,1,2
12,118,30,יהודית רביץ,1,2
116,123,סקאזי דרייב,שירי מימון,3,2
45,249,אייל גולן,שרית חדד,6,2
88,102,גלעד שגב,דין דין אביב,5,2
55,119,מרגלית צנעני,מומי לוי,3,1
59,120,דודו אהרון,זהבה בן,3,3
31,101,שולי רנד,ארקדי דוכין,2,8
24,99,סאבלימינל,דנה אינטרנשיונל,17,2
95,141,ריטה,כנסיית השכל,5,1
120,250,דודו אהרון,זהבהבן,3,1
46,121,רונה קינן,ברי סחרוף,1,12
122,251,ליאור פרחי,אודי הברי,1,1
123,183,שירי מימון,שמעון בוסקילה,1,2
15,252,הדג נחש,יהודה קיסר,12,1
25,253,שרון חזיז,יאיר זיו,2,1
113,138,קובי אפללו,עילי בוטנר,2,4
93,124,אסף אמדורסקי,עברי לידר,1,4
125,191,אביהו שבת,מיכל אמדורסקי,2,2
95,138,ריטה,עילי בוטנר,5,4
11,45,ליאור נרקיס,אייל גולן,6,1
30,254,לאה שבת,עמית  צח,6,1
30,255,לאה שבת,עמית צח,6,1
126,138,הפרברים,עילי בוטנר,1,4
127,135,עידן רייכל,אביב גפן,2,4
46,256,ברי סחרוף,איזבו,3,1
7,125,אביהו שבת,שלומי שבת,2,10
24,206,סאבלימינל,צ'ולו,17,2
24,257,סאבלימינל,אריק לביא,17,1
128,258,התקווה 6,רוחמה רז,3,1
102,259,גלעד שגב,מטבוחה פרוג'קט,5,1
41,247,דן תורן,מאור כהן,5,2
101,129,אהרון רזאל,שולי רנד,1,1
130,221,רוני ידידיה,פיטר רוט,5,5
24,223,סאבלימינל,גד אלבז,17,3
10,260,עמיר בניון,מקהלת פרחי יואב,3,1
48,65,אתניX,ריקי גל,5,2
131,221,רוני ידיידה,פיטר רוט,1,5
132,261,אהוד בנאי,אודליה בנאי,3,1
7,262,שלומי שבת,אודי דוידי,7,1
24,263,סאבלימינל,לירן אביב,17,1
28,133,אריק סיני,יפעת תעשה,2,2
109,134,בני בשן,בום פם,1,1
120,264,דודו אהרון,ג'ולייטה,3,1
135,265,אביב גפן,שרון ליפשיץ,2,1
24,65,סאבלימינל,אתניX,17,1
136,221,לי גאון,פיטר רוט,1,5
91,266,עובדיה חממה,גיל עקיביוב,3,1
44,137,משינה,אינפקטד מאשרום,1,3
138,267,עילי בוטנר,ילדי החוץ,2,1
8,13,שלמה ארצי,אריק איינשטיין,12,2
82,234,גידי גוב,רוני אלטר,2,2
14,48,מתי כספי,ריקי גל,4,2
119,268,מרגלית צנעני,שיר לוי,3,1
8,182,שלמה ארצי,אברהם טל,12,2
130,203,רוני ידידיה,קובי אוז,5,2
46,139,דניאל זמיר,ברי סחרוף,2,12
135,140,אביתר בנאי,אביב גפן,1,4
102,230,גלעד שגב,מירי מסיקה,5,4
141,269,כנסיית השכל,התזמורת האנדלוסית,1,1
10,142,ישי לוי,עמיר בניון,4,2
8,90,שלמה ארצי,דודו טסה,12,1
38,93,עברי לידר,מוקי,4,3
99,143,ירדנה ארזי,דנה אינטרנשיונל,2,2
73,184,יצחק קלפטר,מאיר בן מיכאל,2,1
45,120,אייל גולן,דודו אהרון,6,1
88,97,דין דין אביב,אלון אולארצ'יק,3,3
2,270,יזהר אשדות,אפרת גוש,4,1
133,271,אריק סיני,יוסטון פרוג'קט,2,1
93,144,שים אדרי,עברי לידר,1,4
132,162,אהוד בנאי,מאיה בלזיצמן,3,1
36,83,מיקי גבריאלוב,יהלי סובול,3,2
124,145,ישראל גוריון,אסף אמדורסקי,1,3
105,272,סגיב כהן,נדב קקון,3,1
146,217,דני גלבוע,קורין אלאל,1,2
147,273,יהודה פוליקר,בלקן ביט בוקס,1,1
50,274,קובי רכט,תום רהב,2,1
148,169,TYP,עומר אדם,1,1
15,155,הדג נחש,דקלון,12,2
36,168,מיקי גבריאלוב,ירמי קפלן,3,1
11,149,משה פרץ,ליאור נרקיס,1,1
150,275,האולטראס,ענבל בקמן,4,1
15,73,הדג נחש,יצחק קלפטר,12,2
59,119,מרגלית צנעני,זהבה בן,3,3
10,151,יהורם גאון,עמיר בניון,1,2
82,152,איה כורם,גידי גוב,1,1
9,153,אלון בן זיו,פישי הגדול,1,3
15,180,הדג נחש,פלד,12,1
154,276,עופר לוי,אפרת רותם,1,1
97,277,אלון אולארצ'יק,אלעד אדר,3,1
35,130,רוני ידידיה,רמי פורטיס,5,3
31,142,ארקדי דוכין,ישי לוי,4,3
