var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14
0,root,root,,,,,0,third_party,0,root,1,0,
1,io.atlassian.util.concurrent.ThreadFactories$Default.newThread(Ljava/lang/Runnable;)Ljava/lang/Thread;,ThreadFactories$Default.newThread(),,,,,1,third_party,1,io.atlassian.util.concurrent.ThreadFactories$Default,1,161,ThreadFactories.java
7,java.util.concurrent.ThreadPoolExecutor.runWorker(Ljava/util/concurrent/ThreadPoolExecutor$Worker;)V,ThreadPoolExecutor.runWorker(),,,,,2,third_party,0,java.util.concurrent.ThreadPoolExecutor,3,-2,
8,java.util.concurrent.ThreadPoolExecutor$Worker.run()V,ThreadPoolExecutor$Worker.run(),,,,,3,third_party,0,java.util.concurrent.ThreadPoolExecutor$Worker,3,-2,
10,java.lang.System.arraycopy(Ljava/lang/Object;ILjava/lang/Object;II)V,System.arraycopy(),,,,,4,third_party,0,java.lang.System,21,-1,
11,java.lang.String.getChars(II[CI)V,String.getChars(),,,,,5,third_party,0,java.lang.String,18,-2,
12,java.lang.AbstractStringBuilder.append(Ljava/lang/String;)Ljava/lang/AbstractStringBuilder;,AbstractStringBuilder.append(),,,,,6,third_party,0,java.lang.AbstractStringBuilder,21,-2,
13,java.lang.StringBuilder.append(Ljava/lang/String;)Ljava/lang/StringBuilder;,StringBuilder.append(),,,,,7,third_party,0,java.lang.StringBuilder,20,-2,
14,org.apache.catalina.webresources.AbstractArchiveResourceSet.getResource(Ljava/lang/String;)Lorg/apache/catalina/WebResource;,AbstractArchiveResourceSet.getResource(),,,,,8,third_party,0,org.apache.catalina.webresources.AbstractArchiveResourceSet,18,211,AbstractArchiveResourceSet.java
15,org.apache.catalina.webresources.StandardRoot.getResourceInternal(Ljava/lang/String;Z)Lorg/apache/catalina/WebResource;,StandardRoot.getResourceInternal(),,,,,9,third_party,0,org.apache.catalina.webresources.StandardRoot,18,274,StandardRoot.java
16,org.apache.catalina.webresources.CachedResource.validateResource(Z)Z,CachedResource.validateResource(),,,,,10,third_party,0,org.apache.catalina.webresources.CachedResource,11,78,CachedResource.java
17,org.apache.catalina.webresources.Cache.getResource(Ljava/lang/String;Z)Lorg/apache/catalina/WebResource;,Cache.getResource(),,,,,11,third_party,0,org.apache.catalina.webresources.Cache,18,61,Cache.java
18,org.apache.catalina.webresources.StandardRoot.getResource(Ljava/lang/String;ZZ)Lorg/apache/catalina/WebResource;,StandardRoot.getResource(),,,,,9,third_party,0,org.apache.catalina.webresources.StandardRoot,18,211,StandardRoot.java
19,org.apache.catalina.webresources.StandardRoot.getClassLoaderResource(Ljava/lang/String;)Lorg/apache/catalina/WebResource;,StandardRoot.getClassLoaderResource(),,,,,9,third_party,0,org.apache.catalina.webresources.StandardRoot,18,225,StandardRoot.java
20,org.apache.catalina.loader.WebappClassLoaderBase.getResourceAsStream(Ljava/lang/String;)Ljava/io/InputStream;,WebappClassLoaderBase.getResourceAsStream(),,,,,12,third_party,0,org.apache.catalina.loader.WebappClassLoaderBase,8,1108,WebappClassLoaderBase.java
21,java.util.ResourceBundle$Control$1.run()Ljava/io/InputStream;,ResourceBundle$Control$1.run(),,,,,13,third_party,4,java.util.ResourceBundle$Control$1,1,-2,
22,java.util.ResourceBundle$Control$1.run()Ljava/lang/Object;,ResourceBundle$Control$1.run(),,,,,13,third_party,4,java.util.ResourceBundle$Control$1,1,-2,
23,java.security.AccessController.doPrivileged(Ljava/security/PrivilegedExceptionAction;)Ljava/lang/Object;,AccessController.doPrivileged(),,,,,14,third_party,4,java.security.AccessController,2,-1,
24,java.util.ResourceBundle$Control.newBundle(Ljava/lang/String;Ljava/util/Locale;Ljava/lang/String;Ljava/lang/ClassLoader;Z)Ljava/util/ResourceBundle;,ResourceBundle$Control.newBundle(),,,,,15,third_party,4,java.util.ResourceBundle$Control,1,-2,
25,java.util.ResourceBundle.loadBundle(Ljava/util/ResourceBundle$CacheKey;Ljava/util/List;Ljava/util/ResourceBundle$Control;Z)Ljava/util/ResourceBundle;,ResourceBundle.loadBundle(),,,,,16,third_party,4,java.util.ResourceBundle,1,-2,
26,java.util.ResourceBundle.findBundle(Ljava/util/ResourceBundle$CacheKey;Ljava/util/List;Ljava/util/List;ILjava/util/ResourceBundle$Control;Ljava/util/ResourceBundle;)Ljava/util/ResourceBundle;,ResourceBundle.findBundle(),,,,,16,third_party,4,java.util.ResourceBundle,1,-2,
27,java.util.ResourceBundle.getBundleImpl(Ljava/lang/String;Ljava/util/Locale;Ljava/lang/ClassLoader;Ljava/util/ResourceBundle$Control;)Ljava/util/ResourceBundle;,ResourceBundle.getBundleImpl(),,,,,16,third_party,4,java.util.ResourceBundle,1,-2,
28,java.util.ResourceBundle.getBundle(Ljava/lang/String;Ljava/util/Locale;Ljava/lang/ClassLoader;Ljava/util/ResourceBundle$Control;)Ljava/util/ResourceBundle;,ResourceBundle.getBundle(),,,,,16,third_party,4,java.util.ResourceBundle,1,-2,
29,com.atlassian.jira.util.resourcebundle.PluginResourceLoaderInvocation$DefaultBundleLoader.getBundle(Ljava/util/Locale;Lcom/atlassian/plugin/Plugin;Lcom/atlassian/plugin/elements/ResourceDescriptor;)Ljava/util/ResourceBundle;,PluginResourceLoaderInvocation$DefaultBundleLoader.getBundle(),3,0,0.666666667,1,17,pep,4,com.atlassian.jira.util.resourcebundle.PluginResourceLoaderInvocation$DefaultBundleLoader,1,434,PluginResourceLoaderInvocation.java
30,com.atlassian.jira.util.resourcebundle.PluginResourceLoaderInvocation.loadPluginSourcedBundle(Ljava/util/List;Lcom/atlassian/plugin/Plugin;Lcom/atlassian/plugin/elements/ResourceDescriptor;)V,PluginResourceLoaderInvocation.loadPluginSourcedBundle(),6,0,0.666666667,1,18,pep,4,com.atlassian.jira.util.resourcebundle.PluginResourceLoaderInvocation,1,305,PluginResourceLoaderInvocation.java
31,com.atlassian.jira.util.resourcebundle.PluginResourceLoaderInvocation.loadPluginSourcedBundles(Ljava/util/List;Lcom/atlassian/plugin/Plugin;)V,PluginResourceLoaderInvocation.loadPluginSourcedBundles(),11,0,0.636363636,1,18,pep,4,com.atlassian.jira.util.resourcebundle.PluginResourceLoaderInvocation,1,290,PluginResourceLoaderInvocation.java
32,com.atlassian.jira.util.resourcebundle.PluginResourceLoaderInvocation.loadPluginSourcedBundles()Ljava/lang/Iterable;,PluginResourceLoaderInvocation.loadPluginSourcedBundles(),19,0,0.789473684,1,18,pep,4,com.atlassian.jira.util.resourcebundle.PluginResourceLoaderInvocation,1,256,PluginResourceLoaderInvocation.java
33,com.atlassian.jira.util.resourcebundle.PluginResourceLoaderInvocation.load()Ljava/util/Map;,PluginResourceLoaderInvocation.load(),27,0,0.962962963,1,18,ep,4,com.atlassian.jira.util.resourcebundle.PluginResourceLoaderInvocation,1,132,PluginResourceLoaderInvocation.java
34,com.atlassian.jira.util.resourcebundle.I18NResourceBundleLoader.load(Ljava/util/Locale;)Ljava/util/Map;,I18NResourceBundleLoader.load(),,,,,19,other,4,com.atlassian.jira.util.resourcebundle.I18NResourceBundleLoader,2,25,I18NResourceBundleLoader.java
35,com.atlassian.jira.i18n.BackingI18nFactoryImpl.create(Ljava/util/Locale;Ljava/lang/Iterable;)Lcom/atlassian/jira/i18n/BackingI18n;,BackingI18nFactoryImpl.create(),,,,,20,infra,4,com.atlassian.jira.i18n.BackingI18nFactoryImpl,2,29,BackingI18nFactoryImpl.java
